id,stationName,totalDocks,latitude,longitude,stAddress1
72,W 52 St & 11 Ave,39,40.76727216,-73.99392888,W 52 St & 11 Ave
79,Franklin St & W Broadway,33,40.71911552,-74.00666661,Franklin St & W Broadway
82,St James Pl & Pearl St,27,40.71117416,-74.00016545,St James Pl & Pearl St
83,Atlantic Ave & Fort Greene Pl,62,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl
116,W 17 St & 8 Ave,39,40.74177603,-74.00149746,W 17 St & 8 Ave
119,Park Ave & St Edwards St,19,40.69608941,-73.97803415,Park Ave & St Edwards St
120,Lexington Ave & Classon Ave,19,40.68676793,-73.95928168,Lexington Ave & Classon Ave
127,Barrow St & Hudson St,31,40.73172428,-74.00674436,Barrow St & Hudson St
128,MacDougal St & Prince St,30,40.72710258,-74.00297088,MacDougal St & Prince St
137,E 56 St & Madison Ave,46,40.761628,-73.972924,E 56 St & Madison Ave
143,Clinton St & Joralemon St,24,40.69239502,-73.99337909,Clinton St & Joralemon St
144,Nassau St & Navy St,19,40.69839895,-73.98068914,Nassau St & Navy St
146,Hudson St & Reade St,39,40.71625008,-74.0091059,Hudson St & Reade St
147,Greenwich St & Warren St,33,40.71542197,-74.01121978,Greenwich St & Warren St
150,E 2 St & Avenue C,31,40.7208736,-73.98085795,E 2 St & Avenue C
151,Cleveland Pl & Spring St,33,40.722103786686034,-73.99724900722504,Cleveland Pl & Spring St
152,Warren St & Church St,29,40.71473993,-74.00910627,Warren St & Church St
153,E 40 St & 5 Ave,55,40.752062307,-73.9816324043,E 40 St & 5 Ave
157,Henry St & Atlantic Ave,23,40.69089272,-73.99612349,Henry St & Atlantic Ave
161,LaGuardia Pl & W 3 St,35,40.72917025,-73.99810231,LaGuardia Pl & W 3 St
164,E 47 St & 2 Ave,47,40.75323098,-73.97032517,E 47 St & 2 Ave
167,E 39 St & 3 Ave,45,40.7489006,-73.97604882,E 39 St & 3 Ave
168,W 18 St & 6 Ave,47,40.73971301,-73.99456405,W 18 St & 6 Ave
173,Broadway & W 49 St,51,40.76068327096592,-73.9845272898674,Broadway & W 49 St
174,E 25 St & 1 Ave,30,40.7381765,-73.97738662,E 25 St & 1 Ave
195,Liberty St & Broadway,45,40.70905623,-74.01043382,Liberty St & Broadway
212,W 16 St & The High Line,28,40.74334935,-74.00681753,W 16 St & The High Line
216,Columbia Heights & Cranberry St,23,40.70037867,-73.99548059,Columbia Heights & Cranberry St
217,Old Fulton St,39,40.70277159,-73.99383605,Old Fulton St
223,W 13 St & 7 Ave,33,40.73781509,-73.99994661,W 13 St & 7 Ave
224,Spruce St & Nassau St,31,40.71146364,-74.00552427,Spruce St & Nassau St
225,W 14 St & The High Line,37,40.74195138,-74.00803013,W 14 St & The High Line
228,E 48 St & 3 Ave,55,40.7546011026,-73.971878855,E 48 St & 3 Ave
229,Great Jones St,23,40.72743423,-73.99379025,Great Jones St
232,Cadman Plaza E & Tillary St,23,40.69597683,-73.99014892,Cadman Plaza E & Tillary St
233,Cadman Plaza W & Pierrepont St,38,40.69475701363877,-73.99052739143372,Cadman Plaza W & Pierrepont St
236,St Marks Pl & 2 Ave,39,40.7284186,-73.98713956,St Marks Pl & 2 Ave
237,E 11 St & 2 Ave,39,40.73047309,-73.98672378,E 11 St & 2 Ave
238,Bank St & Washington St,31,40.7361967,-74.00859207,Bank St & Washington St
239,Willoughby St & Fleet St,31,40.69196566,-73.9813018,Willoughby St & Fleet St
241,DeKalb Ave & S Portland Ave,23,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave
242,Carlton Ave & Flushing Ave,23,40.697787,-73.973736,Carlton Ave & Flushing Ave
243,Fulton St & Rockwell Pl,31,40.688226,-73.979382,Fulton St & Rockwell Pl
244,Willoughby Ave & Hall St,31,40.69196035,-73.96536851,Willoughby Ave & Hall St
245,Myrtle Ave & St Edwards St,23,40.69327018,-73.97703874,Myrtle Ave & St Edwards St
247,Perry St & Bleecker St,20,40.73535398,-74.00483091,Perry St & Bleecker St
248,Laight St & Hudson St,23,40.72185379,-74.00771779,Laight St & Hudson St
249,Harrison St & Hudson St,27,40.71870987,-74.0090009,Harrison St & Hudson St
250,Lafayette St & Jersey St,40,40.72456089,-73.99565293,Lafayette St & Jersey St
251,Mott St & Prince St,27,40.72317958,-73.99480012,Mott St & Prince St
252,MacDougal St & Washington Sq,33,40.73226398,-73.99852205,MacDougal St & Washington Sq
253,W 13 St & 5 Ave,55,40.73543934,-73.99453948,W 13 St & 5 Ave
254,W 11 St & 6 Ave,31,40.73532427,-73.99800419,W 11 St & 6 Ave
257,Lispenard St & Broadway,39,40.71939226,-74.00247214,Lispenard St & Broadway
258,DeKalb Ave & Vanderbilt Ave,23,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave
259,South St & Whitehall St,39,40.70122128,-74.01234218,South St & Whitehall St
260,Broad St & Bridge St,35,40.70365182,-74.01167797,Broad St & Bridge St
261,Johnson St & Gold St,27,40.69474881,-73.98362464,Johnson St & Gold St
262,Washington Park,24,40.6917823,-73.9737299,Washington Park
263,Elizabeth St & Hester St,31,40.71729,-73.996375,Elizabeth St & Hester St
264,Maiden Ln & Pearl St,27,40.70706456,-74.00731853,Maiden Ln & Pearl St
265,Stanton St & Chrystie St,35,40.72229346,-73.99147535,Stanton St & Chrystie St
266,Avenue D & E 8 St,24,40.72368361,-73.97574813,Avenue D & E 8 St
267,Broadway & W 36 St,57,40.75097711,-73.98765428,Broadway & W 36 St
268,Howard St & Centre St,27,40.71910537,-73.99973337,Howard St & Centre St
270,Adelphi St & Myrtle Ave,23,40.69308257,-73.97178913,Adelphi St & Myrtle Ave
274,Lafayette Ave & Fort Greene Pl,31,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl
275,Washington Ave & Greene Ave,19,40.68650065,-73.96563307,Washington Ave & Greene Ave
276,Duane St & Greenwich St,25,40.71748752,-74.0104554,Duane St & Greenwich St
278,Concord St & Bridge St,19,40.69766564,-73.98476437,Concord St & Bridge St
279,Peck Slip & Front St,36,40.707873,-74.00167,Peck Slip & Front St
280,E 10 St & 5 Ave,31,40.73331967,-73.99510132,E 10 St & 5 Ave
281,Grand Army Plaza & Central Park S,59,40.7643971,-73.97371465,Grand Army Plaza & Central Park S
282,Kent Ave & S 11 St,27,40.70827295,-73.96834101,Kent Ave & S 11 St
284,Greenwich Ave & 8 Ave,43,40.7390169121,-74.0026376103,Greenwich Ave & 8 Ave
285,Broadway & E 14 St,47,40.73454567,-73.99074142,Broadway & E 14 St
